ds,y
2019-10-01,34974
2019-10-01,16777
2019-10-01,30973
2019-10-01,25786
2019-10-01,39882
2019-10-01,49491
2019-10-01,50813
2019-10-01,45262
2019-10-01,38864
2019-10-01,45645
2019-10-01,62841
2019-10-01,45287
2019-10-01,46928
2019-10-01,60363
2019-10-01,73497
2019-10-01,28413
2019-10-01,26643
2019-10-01,45556
2019-10-01,26313
2019-10-01,17896
2019-10-01,17729
2019-10-01,51632
2019-10-01,62844
2019-10-01,66357
2019-10-01,25960
2019-10-01,37144
2019-10-01,107689
2019-10-01,23567
2019-10-01,27093
2019-10-01,88409
2019-10-01,29512
2019-10-01,23916
2019-10-01,139249
2019-10-01,73851
2019-10-01,19915
2019-10-01,61383
2019-10-01,87274
2019-10-01,60270
2019-10-01,71278
2019-10-01,55246
2019-10-01,37783
2019-10-01,65674
2019-10-01,76497
2019-10-01,54947
2019-10-01,57058
2019-10-01,45345
2019-10-01,65424
2019-10-01,82947
2019-10-01,73980
2019-10-01,98482
2019-10-01,110494
2019-10-01,39164
2019-10-01,38371
2019-10-01,51477
2019-10-01,40168
2019-10-01,103572
2019-10-01,72406
2019-10-01,67589
2019-10-01,48957
2019-10-01,107407
2019-10-01,51298
2019-10-01,30707
2019-10-01,10657
2019-10-01,81528
2019-10-01,51382
2019-10-01,65583
2019-10-01,56563
2019-10-01,50477
2019-10-01,48154
2019-10-01,38187
2019-10-01,59244
2019-10-01,66523
2019-10-01,61731
2019-10-01,39983
2019-10-01,102806
2019-10-01,69341
2019-10-01,108241
2019-10-01,82632
2019-10-01,65400
2019-10-01,42117
2019-10-01,35563
2019-10-01,124102
2019-10-01,165046
2019-10-01,71243
2019-10-01,55536
2019-10-01,83612
2019-10-01,87215
2019-10-01,116966
2019-10-01,99785
2019-10-01,79783
2019-10-01,61170
2019-10-01,88394
2019-10-01,74675
2019-10-01,77408
2019-10-01,20451
2019-10-01,111035
2019-10-01,68169
2019-10-01,57550
2019-10-01,33452
2019-10-01,34307
2019-10-01,88747
2019-10-01,102085
2019-10-01,79726
2019-10-01,40378
2019-10-01,52892
2019-10-01,59706
2019-10-01,40044
2019-10-01,21849
2019-10-01,39961
2019-10-01,79698
2019-10-01,79568
2019-10-01,59827
2019-10-01,85240
2019-10-01,84361
2019-10-01,24856
2019-10-01,42882
2019-10-01,48037
2019-10-01,39953
2019-10-01,24004
2019-10-01,47958
2019-10-01,62682
2019-10-01,99710
2019-10-01,86819
2019-10-01,62405
2019-10-01,47671
2019-10-01,20195
2019-10-01,64178
2019-10-01,16540
2019-10-01,129172
2019-10-01,36411
2019-10-01,22320
2019-10-01,94432
2019-10-01,34721
2019-10-01,55176
2019-10-01,18114
2019-10-01,116588
2019-10-01,96641
2019-10-01,19910
2019-10-01,44642
2019-10-01,3
2019-10-01,27828
2019-10-01,44665
2019-10-01,120404
2019-10-01,31056
2019-10-01,61558
2019-10-01,174139
2019-10-01,48066
2019-10-01,31468
2019-10-01,40570
2019-10-01,101716
2019-10-01,21981
2019-10-01,64068
2019-10-01,71089
2019-10-01,97740
2019-10-01,61007
2019-10-01,52235
2019-10-01,12872
2019-10-01,37860
2019-10-01,52272
2019-10-01,17636
2019-10-01,60449
2019-10-01,56589
2019-10-01,189986
2019-10-01,133140
2019-10-01,80839
2019-10-01,84984
2019-10-01,34933
2019-10-01,87850
2019-10-01,106285
2019-10-01,52274
2019-10-01,37913
2019-10-01,107445
2019-10-01,151116
2019-10-01,21099
2019-10-01,95254
2019-10-01,8825
2019-10-01,48924
2019-10-01,53591
2019-10-01,161455
2019-10-01,79022
2019-10-01,29010
2019-10-01,30741
2019-10-01,42346
2019-10-01,44495
2019-10-01,90567
2019-10-01,73982
2019-10-01,70833
2019-10-01,73611
2019-10-01,54905
2019-10-01,72292
2019-10-01,71533
2019-10-01,97268
2019-10-01,139931
2019-10-01,70144
2019-10-01,228423
2019-10-01,45264
2019-10-01,82027
2019-10-01,9791
2019-10-01,171608
2019-10-01,204819
2019-10-01,54588
2019-10-01,108050
2019-10-01,170987
2019-10-01,132441
2019-10-01,135543
2019-10-01,217772
2019-10-01,131017
2019-10-01,25193
2019-10-01,107529
2019-10-01,101507
2019-10-01,62484
2019-10-01,230000
2019-10-01,104453
2019-10-01,30419
2019-10-01,57183
2019-10-01,86838
2019-10-01,151555
2019-10-01,186731
2019-10-01,188654
2019-10-01,192364
2019-10-01,143469
2019-10-01,68662
2019-10-01,69162
2019-10-01,216275
2019-10-01,131716
2019-10-01,94938
2019-10-01,45760
2019-10-01,62802
2019-10-01,46904
2019-10-01,12716
2019-10-01,17236
2019-10-01,71050
2019-10-01,119155
2019-10-01,81917
2019-10-01,31668
2019-10-01,62595
2019-10-01,87574
2019-10-01,43966
2019-10-01,86070
