ds,y
2018-03-01,132858
2018-03-01,144807
2018-03-01,161159
2018-03-01,111157
2018-03-01,228041
2018-03-01,332933
2018-03-01,349589
2018-03-01,170206
2018-03-01,401375
2018-03-01,302624
2018-03-01,132858
2018-02-01,291673
2018-02-01,81569
2018-02-01,102707
2018-02-01,223197
2018-02-01,311066
2018-02-01,134067
2018-02-01,305913
2018-02-01,110530
2018-01-01,120318
2018-01-01,179261
2018-01-01,114363
2018-01-01,244849
2018-01-01,337898
2018-01-01,148482
2018-01-01,305347
2018-01-01,311669
2018-01-01,88361
2018-01-01,195218
2018-01-01,125158
2018-01-01,122036
2017-12-01,134444
2017-12-01,121716
2017-12-01,266374
2017-12-01,381909
2017-12-01,166079
2017-12-01,321443
2017-12-01,321642
2017-12-01,97384
2017-12-01,211349
2017-11-01,137250
2017-11-01,335549
2017-11-01,269463
2017-11-01,366199
2017-11-01,160643
2017-11-01,124640
2017-11-01,321855
2017-11-01,106545
2017-11-01,215758
2017-11-01,138707
2017-11-01,138837
2017-10-01,119500
2017-10-01,256719
2017-10-01,369532
2017-10-01,148607
2017-10-01,307409
2017-10-01,326341
2017-10-01,105529
2017-10-01,210117
2017-10-01,152946
2017-10-01,134384
2017-09-01,161440
2017-09-01,380830
2017-09-01,280083
2017-09-01,131358
2017-09-01,139085
2017-09-01,149526
2017-09-01,213661
2017-09-01,119067
2017-08-01,364681
2017-08-01,363915
2017-08-01,307312
2017-08-01,154068
2017-08-01,363996
2017-08-01,265077
2017-08-01,117640
2017-08-01,128976
2017-08-01,130611
2017-08-01,201406
2017-08-01,90914
2017-08-01,338117
2017-07-01,132485
2017-07-01,130134
2017-07-01,197668
2017-07-01,89441
2017-07-01,327285
2017-07-01,292021
2017-07-01,149545
2017-07-01,346276
2017-07-01,261821
2017-07-01,118029
2017-06-01,140568
2017-06-01,143419
2017-06-01,221355
2017-06-01,96810
2017-06-01,339068
2017-06-01,313571
2017-06-01,155924
2017-06-01,365977
2017-06-01,277874
2017-06-01,121351
2017-05-01,145823
2017-05-01,154439
2017-05-01,238890
2017-05-01,101702
2017-05-01,348821
2017-05-01,322677
2017-05-01,158460
2017-05-01,375653
2017-05-01,286406
2017-05-01,122437
2017-04-01,124262
2017-04-01,272772
2017-04-01,363866
2017-04-01,156277
2017-04-01,311151
2017-04-01,337596
2017-04-01,116976
2017-04-01,218846
2017-04-01,152763
2017-04-01,140627
2017-03-01,156359
2017-03-01,146295
2017-03-01,130458
2017-03-01,291340
2017-03-01,400767
2017-03-01,177866
2017-03-01,325773
2017-03-01,357368
2017-02-01,162668
2017-02-01,228799
2017-02-01,112413
2017-02-01,241395
2017-02-01,343472
2017-02-01,153922
2017-02-01,272875
2017-02-01,312138
2017-02-01,156857
2017-02-01,203252
2017-02-01,127902
2017-02-01,122054
2017-01-01,119005
2017-01-01,122514
2017-01-01,195708
2017-01-01,106795
2017-01-01,338786
2017-01-01,308591
2017-01-01,141085
2017-01-01,328316
2017-01-01,229453
2017-01-01,110943
2016-12-01,126355
2016-12-01,270530
2016-12-01,382069
2016-12-01,179502
2016-12-01,307262
2016-12-01,344587
2016-12-01,126263
2016-12-01,226036
2016-12-01,135180
2016-12-01,140426
2016-11-01,251402
2016-11-01,333910
2016-11-01,304093
2016-11-01,121016
2016-11-01,134229
2016-11-01,135046
2016-11-01,351300
2016-11-01,160931
2016-11-01,113560
2016-11-01,233613
2016-10-01,263393
2016-10-01,349566
2016-10-01,319124
2016-10-01,125253
2016-10-01,139497
2016-10-01,145243
2016-10-01,369426
2016-10-01,156210
2016-10-01,101695
2016-10-01,232308
2016-10-01,263393
2016-10-01,349566
2016-10-01,319124
2016-10-01,125253
2016-10-01,139497
2016-10-01,145243
2016-10-01,369426
2016-10-01,156210
2016-10-01,101695
2016-10-01,232308
2016-09-01,319290
2016-09-01,115439
2016-09-01,127161
2016-09-01,138036
2016-09-01,344064
2016-09-01,141884
2016-09-01,99092
2016-09-01,210972
2016-09-01,246578
2016-09-01,346268
2016-09-01,319290
2016-09-01,115439
2016-09-01,127161
2016-09-01,138036
2016-09-01,344064
2016-09-01,141884
2016-09-01,99092
2016-09-01,210972
2016-08-01,246578
2016-08-01,346268
2016-08-01,214384
2016-08-01,97067
2016-08-01,146459
2016-08-01,335434
2016-08-01,123520
2016-08-01,126478
2016-08-01,114640
2016-08-01,279978
2016-08-01,342211
2016-08-01,246914
2016-07-01,255191
2016-07-01,339904
2016-07-01,284607
2016-07-01,118903
2016-07-01,133246
2016-07-01,130130
2016-07-01,341563
2016-07-01,146243
2016-07-01,88478
2016-07-01,212894
2016-06-01,221157
2016-06-01,96838
2016-06-01,153420
2016-06-01,352937
2016-06-01,140899
2016-06-01,138300
2016-06-01,120693
2016-06-01,302902
2016-06-01,347697
2016-06-01,270096
2016-05-01,234803
2016-05-01,96178
2016-05-01,161590
2016-05-01,369132
2016-05-01,148019
2016-05-01,143588
2016-05-01,124301
2016-05-01,299148
2016-05-01,355270
2016-05-01,279170
2016-04-01,277635
2016-04-01,354877
2016-04-01,302652
2016-04-01,123518
2016-04-01,139644
2016-04-01,146213
2016-04-01,367963
2016-04-01,150621
2016-04-01,95309
2016-04-01,237844
2016-03-01,285331
2016-03-01,359422
2016-03-01,320558
2016-03-01,128868
2016-03-01,145667
2016-03-01,149279
2016-03-01,393973
2016-03-01,159145
2016-02-01,97901
2016-02-01,233961
2016-02-01,117437
2016-02-01,115831
2016-02-01,106767
2016-02-01,268469
2016-02-01,311123
2016-02-01,225244
2016-02-01,193565
2016-02-01,78139
2016-02-01,134729
2016-02-01,330776
2016-01-01,208109
2016-01-01,88127
2016-01-01,146465
2016-01-01,359714
2016-01-01,124221
2016-01-01,125120
2016-01-01,116691
2016-01-01,306695
2016-01-01,342495
2016-01-01,240818
2015-12-01,235606
2015-12-01,102259
2015-12-01,169895
2015-12-01,402176
2015-12-01,133923
2015-12-01,144125
2015-12-01,130091
2015-12-01,311257
2015-12-01,355266
2015-12-01,276092
